time,x_des,z_des
0,0.458324988449973,0.354703400079679
0.001,0.458324988449973,0.354703400079661
0.002,0.458324988449973,0.35470340007958
0.003,0.458324988449973,0.354703400079363
0.004,0.458324988449973,0.354703400078905
0.005,0.458324988449973,0.354703400078073
0.006,0.458324988449973,0.354703400076703
0.007,0.458324988449973,0.3547034000746
0.008,0.458324988449973,0.354703400071543
0.009,0.458324988449973,0.354703400067278
0.01,0.458324988449973,0.354703400061522
0.011,0.458324988449973,0.354703400053963
0.012,0.458324988449973,0.354703400044258
0.013,0.458324988449973,0.354703400032035
0.014,0.458324988449973,0.354703400016894
0.015,0.458324988449973,0.354703399998401
0.016,0.458324988449973,0.354703399976095
0.017,0.458324988449973,0.354703399949486
0.018,0.458324988449973,0.354703399918053
0.019,0.458324988449973,0.354703399881244
0.02,0.458324988449973,0.354703399838481
0.021,0.458324988449973,0.354703399789152
0.022,0.458324988449973,0.354703399732617
0.023,0.458324988449973,0.354703399668207
0.024,0.458324988449973,0.354703399595223
0.025,0.458324988449973,0.354703399512936
0.026,0.458324988449973,0.354703399420585
0.027,0.458324988449973,0.354703399317384
0.028,0.458324988449973,0.354703399202513
0.029,0.458324988449973,0.354703399075125
0.03,0.458324988449973,0.35470339893434
0.031,0.458324988449973,0.354703398779253
0.032,0.458324988449973,0.354703398608925
0.033,0.458324988449973,0.354703398422389
0.034,0.458324988449973,0.354703398218649
0.035,0.458324988449973,0.354703397996677
0.036,0.458324988449973,0.354703397755418
0.037,0.458324988449973,0.354703397493785
0.038,0.458324988449973,0.354703397210663
0.039,0.458324988449973,0.354703396904905
0.04,0.458324988449973,0.354703396575338
0.041,0.458324988449973,0.354703396220755
0.042,0.458324988449973,0.354703395839922
0.043,0.458324988449973,0.354703395431574
0.044,0.458324988449973,0.354703394994418
0.045,0.458324988449973,0.354703394527129
0.046,0.458324988449973,0.354703394028355
0.047,0.458324988449973,0.35470339349671
0.048,0.458324988449973,0.354703392930783
0.049,0.458324988449973,0.354703392329131
0.05,0.458324988449973,0.354703391690281
0.051,0.458324988449973,0.354703391012732
0.052,0.458324988449973,0.35470339029495
0.053,0.458324988449972,0.354703389535375
0.054,0.458324988449972,0.354703388732415
0.055,0.458324988449972,0.35470338788445
0.056,0.458324988449972,0.354703386989828
0.057,0.458324988449972,0.354703386046869
0.058,0.458324988449972,0.354703385053864
0.059,0.458324988449972,0.354703384009072
0.06,0.458324988449971,0.354703382910725
0.061,0.458324988449971,0.354703381757022
0.062,0.458324988449971,0.354703380546135
0.063,0.45832498844997,0.354703379276206
0.064,0.45832498844997,0.354703377945347
0.065,0.45832498844997,0.354703376551639
0.066,0.458324988449969,0.354703375093136
0.067,0.458324988449969,0.35470337356786
0.068,0.458324988449968,0.354703371973804
0.069,0.458324988449967,0.354703370308932
0.07,0.458324988449967,0.354703368571178
0.071,0.458324988449966,0.354703366758446
0.072,0.458324988449965,0.35470336486861
0.073,0.458324988449964,0.354703362899516
0.074,0.458324988449963,0.354703360848979
0.075,0.458324988449962,0.354703358714784
0.076,0.458324988449961,0.354703356494688
0.077,0.458324988449959,0.354703354186417
0.078,0.458324988449958,0.354703351787668
0.079,0.458324988449956,0.354703349296108
0.08,0.458324988449954,0.354703346709374
0.081,0.458324988449952,0.354703344025074
0.082,0.45832498844995,0.354703341240787
0.083,0.458324988449948,0.354703338354062
0.084,0.458324988449945,0.354703335362416
0.085,0.458324988449943,0.354703332263341
0.086,0.45832498844994,0.354703329054296
0.087,0.458324988449936,0.354703325732711
0.088,0.458324988449933,0.354703322295987
0.089,0.458324988449929,0.354703318741495
0.09,0.458324988449925,0.354703315066576
0.091,0.458324988449921,0.354703311268543
0.092,0.458324988449916,0.354703307344678
0.093,0.458324988449911,0.354703303292234
0.094,0.458324988449905,0.354703299108434
0.095,0.458324988449899,0.354703294790471
0.096,0.458324988449893,0.354703290335511
0.097,0.458324988449886,0.354703285740687
0.098,0.458324988449879,0.354703281003105
0.099,0.458324988449871,0.35470327611984
0.1,0.458324988449862,0.354703271087938
0.101,0.458324988449853,0.354703265904415
0.102,0.458324988449843,0.35470326056626
0.103,0.458324988449833,0.354703255070428
0.104,0.458324988449822,0.354703249413848
0.105,0.45832498844981,0.354703243593418
0.106,0.458324988449797,0.354703237606008
0.107,0.458324988449784,0.354703231448456
0.108,0.458324988449769,0.354703225117572
0.109,0.458324988449754,0.354703218610137
0.11,0.458324988449737,0.354703211922902
0.111,0.45832498844972,0.354703205052588
0.112,0.458324988449701,0.354703197995887
0.113,0.458324988449681,0.354703190749461
0.114,0.45832498844966,0.354703183309944
0.115,0.458324988449638,0.354703175673938
0.116,0.458324988449614,0.354703167838019
0.117,0.458324988449588,0.354703159798731
0.118,0.458324988449561,0.354703151552588
0.119,0.458324988449533,0.354703143096078
0.12,0.458324988449503,0.354703134425655
0.121,0.458324988449471,0.354703125537747
0.122,0.458324988449437,0.354703116428751
0.123,0.458324988449401,0.354703107095036
0.124,0.458324988449363,0.35470309753294
0.125,0.458324988449323,0.354703087738772
0.126,0.45832498844928,0.354703077708811
0.127,0.458324988449236,0.35470306743931
0.128,0.458324988449188,0.354703056926488
0.129,0.458324988449138,0.354703046166537
0.13,0.458324988449085,0.35470303515562
0.131,0.45832498844903,0.354703023889869
0.132,0.458324988448971,0.354703012365389
0.133,0.458324988448909,0.354703000578252
0.134,0.458324988448844,0.354702988524505
0.135,0.458324988448775,0.354702976200162
0.136,0.458324988448703,0.354702963601209
0.137,0.458324988448627,0.354702950723605
0.138,0.458324988448547,0.354702937563275
