time,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate,waist_d,shoulder_d,elbow_d,forearm_roll_d,wrist_angle_d,wrist_rotate_d,gripper
0.13,0,-9.15933995315754e-15,3.77076527224851e-08,0,1.46076822717803e-08,0,0,-7.35227252032363e-13,1.30165568275139e-06,0,5.04252358720195e-07,0,0.026
0.14,0,-1.64868119156836e-14,5.07242094438531e-08,0,1.96502058589823e-08,0,0,-1.21800094343265e-12,1.61248490883447e-06,0,6.24665442683235e-07,0,0.026
0.15,0,-2.8643754035329e-14,6.68490584554426e-08,0,2.58968602858146e-08,0,0,-1.92931432731217e-12,1.96923121515667e-06,0,7.62866486783994e-07,0,0.026
0.16,0,-4.79616346638068e-14,8.65413706807594e-08,0,3.35255251536546e-08,0,0,-2.96490544345201e-12,2.37505167034058e-06,0,9.20078518595089e-07,0,0.026
0.17,0,-7.76045894212984e-14,1.10291887345237e-07,0,4.27263103396055e-08,0,0,-4.50477533676487e-12,2.83310152093394e-06,0,1.09752386017889e-06,0,0.026
0.18,0,-1.2267964422108e-13,1.3862290265676e-07,0,5.37015489413944e-08,0,0,-6.61230994080337e-12,3.34653378232282e-06,0,1.29642396968315e-06,0,0.026
0.19,0,-1.88793425337508e-13,1.72088240490975e-07,0,6.66657886382259e-08,0,0,-9.52196362163772e-12,3.91849950781057e-06,0,1.51799954566292e-06,0,0.026
0.2,0,-2.83995049699115e-13,2.11273235517506e-07,0,8.18457840948551e-08,0,0,-1.35269751644321e-11,4.55214746604005e-06,0,1.76347040220876e-06,0,0.026
0.21,0,-4.1927572524969e-13,2.56794710107311e-07,0,9.94804881169427e-08,0,0,-1.88447303907156e-11,5.2506239148593e-06,0,2.03405538144726e-06,0,0.026
0.22,0,-6.07736083679811e-13,3.09300949241642e-07,0,1.19821041931415e-07,0,0,-2.58595986792243e-11,6.01707273197403e-06,0,2.33097240426943e-06,0,0.026
0.23,0,-8.6630702611501e-13,3.6947167653123e-07,0,1.43130765974109e-07,0,0,-3.50546316572304e-11,6.85463519444733e-06,0,2.65543838503683e-06,0,0.026
0.24,0,-1.2168599461404e-12,4.38018028459108e-07,0,1.69685149824478e-07,0,0,-4.68542470481819e-11,7.76644971857906e-06,0,3.00866913095138e-06,0,0.026
0.25,0,-1.68542957368345e-12,5.1568252573686e-07,0,1.99771841133992e-07,0,0,-6.1955429353139e-11,8.75565207683703e-06,0,3.39187942624467e-06,0,0.026
0.26,0,-2.30498953257552e-12,6.03239046437221e-07,0,2.33690635396438e-07,0,0,-8.10145750900915e-11,9.82537487909649e-06,0,3.80628283137893e-06,0,0.026
0.27,0,-3.1151192736445e-12,7.01492795129877e-07,0,2.71753463710228e-07,0,0,-1.0491169218586e-10,1.09787478660638e-05,0,4.25309179689651e-06,0,0.026
0.28,0,-4.16422452076404e-12,8.11280273793624e-07,0,3.14284381679193e-07,0,0,-1.34614572978367e-10,1.22188974927081e-05,0,4.73351750223812e-06,0,0.026
0.29,0,-5.51036993812204e-12,9.33469248731722e-07,0,3.61619556701574e-07,0,0,-1.71242685293823e-10,1.3548946978756e-05,0,5.24876987551294e-06,0,0.026
0.3,0,-7.22277793130388e-12,1.06895871859747e-06,0,4.14107255456703e-07,0,0,-2.16086431297165e-10,1.4972016102698e-05,0,5.80005751392298e-06,0,0.026
0.31,0,-9.38366051528305e-12,1.2186788795332e-06,0,4.72107830595933e-07,0,0,-2.70648405714377e-10,1.64912212656532e-05,0,6.38858770874465e-06,0,0.026
0.32,0,-1.20901622047143e-11,1.38359109208563e-06,0,5.3599370768338e-07,0,0,-3.36595581915007e-10,1.81096751489001e-05,0,7.0155663129164e-06,0,0.026
0.33,0,-1.54561363707728e-11,1.56468784368036e-06,0,6.06149370812544e-07,0,0,-4.15888974370303e-10,1.98304868522324e-05,0,7.68219779491165e-06,0,0.026
0.34,0,-1.96150318210186e-11,1.76299271220648e-06,0,6.8297134876166e-07,0,0,-5.10646510645288e-10,2.16567615707077e-05,0,8.38968511380653e-06,0,0.026
0.35,0,-2.47215026227821e-11,1.97956032782498e-06,0,7.66868199899725e-07,0,0,-6.23361070449676e-10,2.35916006891903e-05,0,9.13922975621639e-06,0,0.026
0.36,0,-3.09551273502962e-11,2.21547633477703e-06,0,8.58260497461889e-07,0,0,-7.56696228717933e-10,2.56381015236375e-05,0,9.93203163640195e-06,0,0.026
