time,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate,waist_d,shoulder_d,elbow_d,forearm_roll_d,wrist_angle_d,wrist_rotate_d
0,0,0,0,0,0,0,0,0,0,0,0.43864908449286,0
0.001,0,0,0,0,0.000438648969045058,0,0,0,0,0,0.438648738149471,0
0.002,0,0,0,0,0.00087729724540352,0,0,0,0,0,0.43864769911985,0
0.003,0,0,0,0,0.00131594413638988,0,0,0,0,0,0.438645967405639,0
0.004,0,0,0,0,0.00175458894932083,0,0,0,0,0,0.438643543009571,0
0.005,0,0,0,0,0.00219323099151634,0,0,0,0,0,0.438640425935476,0
0.006,0,0,0,0,0.00263186957030074,0,0,0,0,0,0.438636616188276,0
0.007,0,0,0,0,0.00307050399300385,0,0,0,0,0,0.438632113773986,0
0.008,0,0,0,0,0.00350913356696204,0,0,0,0,0,0.438626918699717,0
0.009,0,0,0,0,0.00394775759951934,0,0,0,0,0,0.438621030973672,0
0.01,0,0,0,0,0.00438637539802854,0,0,0,0,0,0.438614450605149,0
0.011,0,0,0,0,0.00482498626985227,0,0,0,0,0,0.438607177604539,0
0.012,0,0,0,0,0.00526358952236408,0,0,0,0,0,0.438599211983328,0
0.013,0,0,0,0,0.00570218446294957,0,0,0,0,0,0.438590553754093,0
0.014,0,0,0,0,0.00614077039900747,0,0,0,0,0,0.438581202930509,0
0.015,0,0,0,0,0.00657934663795071,0,0,0,0,0,0.43857115952734,0
0.016,0,0,0,0,0.00701791248720756,0,0,0,0,0,0.438560423560447,0
0.017,0,0,0,0,0.00745646725422267,0,0,0,0,0,0.438548995046783,0
0.018,0,0,0,0,0.00789501024645821,0,0,0,0,0,0.438536874004395,0
0.019,0,0,0,0,0.00833354077139492,0,0,0,0,0,0.438524060452425,0
0.02,0,0,0,0,0.00877205813653326,0,0,0,0,0,0.438510554411107,0
0.021,0,0,0,0,0.00921056164939445,0,0,0,0,0,0.438496355901768,0
0.022,0,0,0,0,0.00964905061752158,0,0,0,0,0,0.43848146494683,0
0.023,0,0,0,0,0.0100875243484807,0,0,0,0,0,0.438465881569807,0
0.024,0,0,0,0,0.010525982149862,0,0,0,0,0,0.438449605795309,0
0.025,0,0,0,0,0.0109644233292807,0,0,0,0,0,0.438432637649036,0
0.026,0,0,0,0,0.0114028471943784,0,0,0,0,0,0.438414977157784,0
0.027,0,0,0,0,0.0118412530528239,0,0,0,0,0,0.438396624349441,0
0.028,0,0,0,0,0.0122796402123146,0,0,0,0,0,0.438377579252988,0
0.029,0,0,0,0,0.0127180079805772,0,0,0,0,0,0.438357841898501,0
0.03,0,0,0,0,0.0131563556653693,0,0,0,0,0,0.438337412317148,0
0.031,0,0,0,0,0.01359468257448,0,0,0,0,0,0.438316290541188,0
0.032,0,0,0,0,0.0140329880157312,0,0,0,0,0,0.438294476603978,0
0.033,0,0,0,0,0.014471271296979,0,0,0,0,0,0.438271970539963,0
0.034,0,0,0,0,0.0149095317261141,0,0,0,0,0,0.438248772384685,0
0.035,0,0,0,0,0.0153477686110635,0,0,0,0,0,0.438224882174775,0
0.036,0,0,0,0,0.0157859812597913,0,0,0,0,0,0.43820029994796,0
0.037,0,0,0,0,0.0162241689803,0,0,0,0,0,0.438175025743059,0
0.038,0,0,0,0,0.0166623310806314,0,0,0,0,0,0.438149059599983,0
0.039,0,0,0,0,0.0171004668688676,0,0,0,0,0,0.438122401559736,0
0.04,0,0,0,0,0.0175385756531325,0,0,0,0,0,0.438095051664415,0
0.041,0,0,0,0,0.0179766567415924,0,0,0,0,0,0.438067009957209,0
0.042,0,0,0,0,0.0184147094424577,0,0,0,0,0,0.4380382764824,0
0.043,0,0,0,0,0.0188527330639831,0,0,0,0,0,0.438008851285361,0
0.044,0,0,0,0,0.0192907269144698,0,0,0,0,0,0.43797873441256,0
0.045,0,0,0,0,0.0197286903022655,0,0,0,0,0,0.437947925911555,0
0.046,0,0,0,0,0.0201666225357664,0,0,0,0,0,0.437916425830996,0
0.047,0,0,0,0,0.0206045229234176,0,0,0,0,0,0.437884234220627,0
0.048,0,0,0,0,0.0210423907737146,0,0,0,0,0,0.437851351131282,0
0.049,0,0,0,0,0.0214802253952044,0,0,0,0,0,0.437817776614889,0
0.05,0,0,0,0,0.0219180260964864,0,0,0,0,0,0.437783510724466,0
0.051,0,0,0,0,0.0223557921862134,0,0,0,0,0,0.437748553514124,0
0.052,0,0,0,0,0.022793522973093,0,0,0,0,0,0.437712905039064,0
0.053,0,0,0,0,0.0232312177658887,0,0,0,0,0,0.437676565355582,0
0.054,0,0,0,0,0.0236688758734205,0,0,0,0,0,0.437639534521061,0
0.055,0,0,0,0,0.0241064966045666,0,0,0,0,0,0.437601812593979,0
0.056,0,0,0,0,0.0245440792682641,0,0,0,0,0,0.437563399633904,0
0.057,0,0,0,0,0.0249816231735103,0,0,0,0,0,0.437524295701495,0
0.058,0,0,0,0,0.0254191276293636,0,0,0,0,0,0.437484500858503,0
0.059,0,0,0,0,0.0258565919449447,0,0,0,0,0,0.437444015167769,0
0.06,0,0,0,0,0.0262940154294378,0,0,0,0,0,0.437402838693226,0
0.061,0,0,0,0,0.0267313973920916,0,0,0,0,0,0.437360971499896,0
0.062,0,0,0,0,0.0271687371422201,0,0,0,0,0,0.437318413653894,0
0.063,0,0,0,0,0.0276060339892042,0,0,0,0,0,0.437275165222425,0
0.064,0,0,0,0,0.0280432872424925,0,0,0,0,0,0.437231226273783,0
0.065,0,0,0,0,0.0284804962116025,0,0,0,0,0,0.437186596877354,0
0.066,0,0,0,0,0.0289176602061214,0,0,0,0,0,0.437141277103615,0
0.067,0,0,0,0,0.0293547785357078,0,0,0,0,0,0.437095267024131,0
0.068,0,0,0,0,0.029791850510092,0,0,0,0,0,0.437048566711558,0
0.069,0,0,0,0,0.0302288754390778,0,0,0,0,0,0.437001176239643,0
0.07,0,0,0,0,0.0306658526325431,0,0,0,0,0,0.436953095683221,0
0.071,0,0,0,0,0.0311027814004413,0,0,0,0,0,0.436904325118219,0
0.072,0,0,0,0,0.0315396610528023,0,0,0,0,0,0.436854864621652,0
0.073,0,0,0,0,0.0319764908997335,0,0,0,0,0,0.436804714271624,0
0.074,0,0,0,0,0.0324132702514208,0,0,0,0,0,0.436753874147331,0
0.075,0,0,0,0,0.0328499984181301,0,0,0,0,0,0.436702344329054,0
0.076,0,0,0,0,0.033286674710208,0,0,0,0,0,0.436650124898168,0
0.077,0,0,0,0,0.0337232984380831,0,0,0,0,0,0.436597215937134,0
0.078,0,0,0,0,0.0341598689122667,0,0,0,0,0,0.436543617529501,0
0.079,0,0,0,0,0.0345963854433547,0,0,0,0,0,0.43648932975991,0
0.08,0,0,0,0,0.0350328473420278,0,0,0,0,0,0.436434352714088,0
0.081,0,0,0,0,0.0354692539190531,0,0,0,0,0,0.436378686478851,0
0.082,0,0,0,0,0.035905604485285,0,0,0,0,0,0.436322331142104,0
0.083,0,0,0,0,0.0363418983516665,0,0,0,0,0,0.43626528679284,0
0.084,0,0,0,0,0.0367781348292299,0,0,0,0,0,0.436207553521139,0
0.085,0,0,0,0,0.0372143132290983,0,0,0,0,0,0.436149131418171,0
0.086,0,0,0,0,0.0376504328624865,0,0,0,0,0,0.436090020576191,0
0.087,0,0,0,0,0.0380864930407021,0,0,0,0,0,0.436030221088545,0
0.088,0,0,0,0,0.0385224930751465,0,0,0,0,0,0.435969733049662,0
0.089,0,0,0,0,0.0389584322773162,0,0,0,0,0,0.435908556555063,0
0.09,0,0,0,0,0.0393943099588036,0,0,0,0,0,0.435846691701353,0
0.091,0,0,0,0,0.0398301254312984,0,0,0,0,0,0.435784138586225,0
0.092,0,0,0,0,0.0402658780065885,0,0,0,0,0,0.43572089730846,0
0.093,0,0,0,0,0.0407015669965611,0,0,0,0,0,0.435656967967923,0
0.094,0,0,0,0,0.0411371917132037,0,0,0,0,0,0.435592350665569,0
0.095,0,0,0,0,0.0415727514686056,0,0,0,0,0,0.435527045503435,0
0.096,0,0,0,0,0.0420082455749584,0,0,0,0,0,0.43546105258465,0
0.097,0,0,0,0,0.0424436733445574,0,0,0,0,0,0.435394372013423,0
0.098,0,0,0,0,0.0428790340898028,0,0,0,0,0,0.435327003895053,0
0.099,0,0,0,0,0.0433143271232006,0,0,0,0,0,0.435258948335923,0
0.1,0,0,0,0,0.0437495517573636,0,0,0,0,0,0.435190205443503,0
0.101,0,0,0,0,0.0441847073050126,0,0,0,0,0,0.435120775326347,0
0.102,0,0,0,0,0.0446197930789779,0,0,0,0,0,0.435050658094094,0
0.103,0,0,0,0,0.0450548083921994,0,0,0,0,0,0.434979853857468,0
0.104,0,0,0,0,0.0454897525577286,0,0,0,0,0,0.434908362728281,0
0.105,0,0,0,0,0.0459246248887294,0,0,0,0,0,0.434836184819425,0
0.106,0,0,0,0,0.0463594246984789,0,0,0,0,0,0.43476332024488,0
0.107,0,0,0,0,0.0467941513003689,0,0,0,0,0,0.434689769119709,0
0.108,0,0,0,0,0.0472288040079068,0,0,0,0,0,0.434615531560058,0
0.109,0,0,0,0,0.0476633821347166,0,0,0,0,0,0.43454060768316,0
0.11,0,0,0,0,0.0480978849945401,0,0,0,0,0,0.434464997607329,0
0.111,0,0,0,0,0.0485323119012381,0,0,0,0,0,0.434388701451964,0
0.112,0,0,0,0,0.048966662168791,0,0,0,0,0,0.434311719337547,0
0.113,0,0,0,0,0.0494009351113006,0,0,0,0,0,0.434234051385643,0
0.114,0,0,0,0,0.0498351300429907,0,0,0,0,0,0.434155697718901,0
0.115,0,0,0,0,0.0502692462782081,0,0,0,0,0,0.434076658461051,0
0.116,0,0,0,0,0.050703283131424,0,0,0,0,0,0.433996933736908,0
0.117,0,0,0,0,0.0511372399172351,0,0,0,0,0,0.433916523672367,0
0.118,0,0,0,0,0.0515711159503642,0,0,0,0,0,0.433835428394407,0
0.119,0,0,0,0,0.0520049105456621,0,0,0,0,0,0.433753648031089,0
0.12,0,0,0,0,0.0524386230181077,0,0,0,0,0,0.433671182711555,0
0.121,0,0,0,0,0.0528722526828099,0,0,0,0,0,0.433588032566029,0
0.122,0,0,0,0,0.0533057988550082,0,0,0,0,0,0.433504197725816,0
0.123,0,0,0,0,0.053739260850074,0,0,0,0,0,0.433419678323303,0
0.124,0,0,0,0,0.0541726379835118,0,0,0,0,0,0.433334474491958,0
0.125,0,0,0,0,0.0546059295709598,0,0,0,0,0,0.43324858636633,0
0.126,0,0,0,0,0.0550391349281916,0,0,0,0,0,0.433162014082046,0
0.127,0,0,0,0,0.0554722533711166,0,0,0,0,0,0.433074757775817,0
0.128,0,0,0,0,0.0559052842157818,0,0,0,0,0,0.432986817585433,0
0.129,0,0,0,0,0.0563382267783724,0,0,0,0,0,0.432898193649762,0
0.13,0,0,0,0,0.0567710803752129,0,0,0,0,0,0.432808886108755,0
0.131,0,0,0,0,0.0572038443227684,0,0,0,0,0,0.432718895103439,0
0.132,0,0,0,0,0.0576365179376457,0,0,0,0,0,0.432628220775924,0
0.133,0,0,0,0,0.0580691005365939,0,0,0,0,0,0.432536863269396,0
0.134,0,0,0,0,0.0585015914365062,0,0,0,0,0,0.432444822728121,0
0.135,0,0,0,0,0.0589339899544204,0,0,0,0,0,0.432352099297444,0
0.136,0,0,0,0,0.0593662954075201,0,0,0,0,0,0.432258693123788,0
0.137,0,0,0,0,0.0597985071131361,0,0,0,0,0,0.432164604354653,0
0.138,0,0,0,0,0.0602306243887471,0,0,0,0,0,0.432069833138619,0
0.139,0,0,0,0,0.0606626465519809,0,0,0,0,0,0.431974379625343,0
0.14,0,0,0,0,0.0610945729206156,0,0,0,0,0,0.431878243965558,0
0.141,0,0,0,0,0.0615264028125805,0,0,0,0,0,0.431781426311077,0
0.142,0,0,0,0,0.0619581355459571,0,0,0,0,0,0.431683926814786,0
0.143,0,0,0,0,0.0623897704389807,0,0,0,0,0,0.431585745630652,0
0.144,0,0,0,0,0.0628213068100408,0,0,0,0,0,0.431486882913716,0
0.145,0,0,0,0,0.0632527439776826,0,0,0,0,0,0.431387338820095,0
0.146,0,0,0,0,0.0636840812606078,0,0,0,0,0,0.431287113506983,0
0.147,0,0,0,0,0.0641153179776761,0,0,0,0,0,0.43118620713265,0
0.148,0,0,0,0,0.0645464534479058,0,0,0,0,0,0.431084619856441,0
0.149,0,0,0,0,0.0649774869904752,0,0,0,0,0,0.430982351838775,0
0.15,0,0,0,0,0.0654084179247234,0,0,0,0,0,0.430879403241148,0
0.151,0,0,0,0,0.0658392455701517,0,0,0,0,0,0.43077577422613,0
0.152,0,0,0,0,0.0662699692464244,0,0,0,0,0,0.430671464957365,0
0.153,0,0,0,0,0.06670058827337,0,0,0,0,0,0.430566475599572,0
0.154,0,0,0,0,0.0671311019709824,0,0,0,0,0,0.430460806318543,0
0.155,0,0,0,0,0.0675615096594216,0,0,0,0,0,0.430354457281145,0
0.156,0,0,0,0,0.0679918106590152,0,0,0,0,0,0.430247428655317,0
0.157,0,0,0,0,0.0684220042902591,0,0,0,0,0,0.430139720610072,0
0.158,0,0,0,0,0.0688520898738189,0,0,0,0,0,0.430031333315495,0
0.159,0,0,0,0,0.0692820667305307,0,0,0,0,0,0.429922266942746,0
0.16,0,0,0,0,0.0697119341814024,0,0,0,0,0,0.429812521664054,0
0.161,0,0,0,0,0.0701416915476146,0,0,0,0,0,0.429702097652722,0
0.162,0,0,0,0,0.0705713381505218,0,0,0,0,0,0.429590995083126,0
0.163,0,0,0,0,0.0710008733116533,0,0,0,0,0,0.42947921413071,0
0.164,0,0,0,0,0.0714302963527144,0,0,0,0,0,0.429366754971994,0
0.165,0,0,0,0,0.0718596065955877,0,0,0,0,0,0.429253617784564,0
0.166,0,0,0,0,0.0722888033623335,0,0,0,0,0,0.42913980274708,0
0.167,0,0,0,0,0.0727178859751917,0,0,0,0,0,0.429025310039271,0
0.168,0,0,0,0,0.0731468537565822,0,0,0,0,0,0.428910139841938,0
0.169,0,0,0,0,0.0735757060291063,0,0,0,0,0,0.428794292336949,0
0.17,0,0,0,0,0.0740044421155479,0,0,0,0,0,0.428677767707244,0
0.171,0,0,0,0,0.0744330613388739,0,0,0,0,0,0.42856056613683,0
0.172,0,0,0,0,0.0748615630222363,0,0,0,0,0,0.428442687810786,0
0.173,0,0,0,0,0.0752899464889723,0,0,0,0,0,0.428324132915256,0
0.174,0,0,0,0,0.075718211062606,0,0,0,0,0,0.428204901637456,0
0.175,0,0,0,0,0.0761463560668492,0,0,0,0,0,0.428084994165668,0
0.176,0,0,0,0,0.0765743808256025,0,0,0,0,0,0.427964410689242,0
0.177,0,0,0,0,0.0770022846629563,0,0,0,0,0,0.427843151398596,0
0.178,0,0,0,0,0.0774300669031921,0,0,0,0,0,0.427721216485215,0
0.179,0,0,0,0,0.0778577268707833,0,0,0,0,0,0.427598606141651,0
0.18,0,0,0,0,0.0782852638903965,0,0,0,0,0,0.427475320561522,0
