time,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate,gripper
0,0,-0.392699081698724,-5.55111512312578e-17,0,0.785398163397448,0,0.026
0.01,0,-0.392699081698724,-5.55111512312578e-17,0,0.785398163397448,0,0.026
0.02,0,-0.392699081698724,-5.55111512312578e-17,0,0.785398163397448,0,0.026
0.03,0,-0.392699081540877,5.85481663151199e-12,0,0.785398163355259,0,0.026
0.04,0,-0.392699081115913,2.161776313514e-11,0,0.785398163241677,0,0.026
0.05,0,-0.39269908021987,5.48540657341334e-11,0,0.785398163002186,0,0.026
0.06,0,-0.392699078590538,1.15289722213419e-10,0,0.785398162566704,0,0.026
0.07,0,-0.392699075907475,2.14810780274632e-10,0,0.785398161849586,0,0.026
0.08,0,-0.392699071792027,3.67462449357703e-10,0,0.785398160749625,0,0.026
0.09,0,-0.392699065807362,5.89447768373219e-10,0,0.785398159150066,0,0.026
0.1,0,-0.392699057458492,8.99126939568617e-10,0,0.785398156918612,0,0.026
0.11,0,-0.392699046192313,1.31701577421595e-09,0,0.785398153907431,0,0.026
0.12,0,-0.392699031397645,1.86578413829963e-09,0,0.785398149953169,0,0.026
0.13,0,-0.392699012405268,2.57025484229345e-09,0,0.785398144876959,0,0.026
0.14,0,-0.392698988487978,3.45740142071449e-09,0,0.785398138484437,0,0.026
0.15,0,-0.39269895886063,4.55634591167708e-09,0,0.785398130565752,0,0.026
0.16,0,-0.392698922680199,5.8983575246252e-09,0,0.785398120895582,0,0.026
0.17,0,-0.392698879045835,7.51684997579716e-09,0,0.785398109233152,0,0.026
0.18,0,-0.392698826998927,9.4473786016458e-09,0,0.785398095322248,0,0.026
0.19,0,-0.392698765523174,1.17276388045262e-08,0,0.785398078891234,0,0.026
0.2,0,-0.39269869354465,1.43974620558929e-08,0,0.785398059653074,0,0.026
0.21,0,-0.392698609931883,1.74988141199428e-08,0,0.785398037305352,0,0.026
0.22,0,-0.392698513495937,2.10757910568127e-08,0,0.78539801153029,0,0.026
0.23,0,-0.392698402990487,2.51746163359989e-08,0,0.785397981994773,0,0.026
0.24,0,-0.392698277111916,2.98436372836441e-08,0,0.78539794835037,0,0.026
0.25,0,-0.392698134499397,3.51333213077787e-08,0,0.78539791023336,0,0.026
0.26,0,-0.392697973734997,4.10962523456071e-08,0,0.785397867264757,0,0.026
0.27,0,-0.392697793343769,4.77871262005714e-08,0,0.785397819050336,0,0.026
0.28,0,-0.392697591793861,5.52627469896372e-08,0,0.78539776518066,0,0.026
0.29,0,-0.392697367496619,6.35820222583128e-08,0,0.785397705231108,0,0.026
0.3,0,-0.392697118806699,7.28059585397567e-08,0,0.785397638761906,0,0.026
0.31,0,-0.392696844022184,8.29976566918411e-08,0,0.785397565318157,0,0.026
0.32,0,-0.392696541384701,9.42223061239922e-08,0,0.785397484429872,0,0.026
0.33,0,-0.392696209079545,1.06547180578342e-07,0,0.785397395612,0,0.026
0.34,0,-0.392695845235806,1.20041631690437e-07,0,0.785397298364467,0,0.026
0.35,0,-0.392695447926496,1.34777084104254e-07,0,0.785397192172205,0,0.026
0.36,0,-0.392695015168691,1.50827028588818e-07,0,0.785397076505192,0,0.026
0.37,0,-0.392694544923663,1.68267016931178e-07,0,0.785396950818484,0,0.026
0.38,0,-0.392694035097023,1.87174655053024e-07,0,0.785396814552257,0,0.026
0.39,0,-0.39269348353887,2.07629596127301e-07,0,0.785396667131839,0,0.026
0.4,0,-0.392692888043939,2.2971353413892e-07,0,0.785396507967758,0,0.026
0.41,0,-0.392692246351757,2.53510196557283e-07,0,0.785396336455774,0,0.026
0.42,0,-0.392691556146796,2.79105337230856e-07,0,0.785396151976926,0,0.026
0.43,0,-0.392690815058637,3.06586728393565e-07,0,0.785395953897571,0,0.026
0.44,0,-0.392690020662138,3.36044152893233e-07,0,0.785395741569429,0,0.026
0.45,0,-0.392689170477598,3.6756939642002e-07,0,0.785395514329623,0,0.026
0.46,0,-0.392688261970931,4.01256238624637e-07,0,0.785395271500732,0,0.026
0.47,0,-0.392687292553843,4.37200444680652e-07,0,0.785395012390829,0,0.026
0.48,0,-0.392686259584014,4.75499756180664e-07,0,0.785394736293532,0,0.026
0.49,0,-0.392685160365277,5.16253881810425e-07,0,0.785394442488049,0,0.026
0.5,0,-0.392683992147809,5.59564488022968e-07,0,0.785394130239229,0,0.026
0.51,0,-0.392682752128319,6.05535188824557e-07,0,0.785393798797612,0,0.026
0.52,0,-0.392681437450248,6.54271536004725e-07,0,0.785393447399476,0,0.026
0.53,0,-0.39268004520396,7.05881008700171e-07,0,0.785393075266891,0,0.026
0.54,0,-0.392678572426948,7.6047300184845e-07,0,0.785392681607769,0,0.026
0.55,0,-0.392677016104041,8.18158816195957e-07,0,0.78539226561592,0,0.026
0.56,0,-0.392675373167608,8.79051646085482e-07,0,0.785391826471101,0,0.026
0.57,0,-0.392673640497775,9.43266567687839e-07,0,0.785391363339077,0,0.026
0.58,0,-0.392671814922637,1.01092052723351e-06,0,0.78539087537167,0,0.026
0.59,0,-0.392669893218483,1.08213232857812e-06,0,0.785390361706819,0,0.026
0.6,0,-0.392667872110012,1.15702261987982e-06,0,0.785389821468635,0,0.026
0.61,0,-0.392665748270564,1.23571388116472e-06,0,0.785389253767461,0,0.026
0.62,0,-0.39266351832235,1.31833040989404e-06,0,0.785388657699929,0,0.026
0.63,0,-0.392661178836682,1.40499830808549e-06,0,0.785388032349019,0,0.026
0.64,0,-0.392658726334214,1.49584546721426e-06,0,0.785387376784119,0,0.026
