time,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate,gripper
0,0,-0.392699081698724,-5.55111512312578e-17,0,0.785398163397448,0,0.026
0.01,0,-0.392699081698724,-5.55111512312578e-17,0,0.785398163397448,0,0.026
0.02,0,-0.392699081698724,-5.55111512312578e-17,0,0.785398163397448,0,0.026
0.03,0,-0.392699081920271,1.34319610989309e-10,0,0.785398163547947,0,0.026
0.04,0,-0.392699082516732,4.95941898659424e-10,0,0.785398163953129,0,0.026
0.05,0,-0.392699083774376,1.25842708476043e-09,0,0.785398164807458,0,0.026
0.06,0,-0.392699086061232,2.64490312984478e-09,0,0.785398166360942,0,0.026
0.07,0,-0.392699089827058,4.92804969054461e-09,0,0.785398168919103,0,0.026
0.08,0,-0.392699095603312,8.43007991191413e-09,0,0.785398172842968,0,0.026
0.09,0,-0.392699104003116,1.35227168907015e-08,0,0.785398178549036,0,0.026
0.1,0,-0.39269911572121,2.06271679181746e-08,0,0.785398186509249,0,0.026
0.11,0,-0.392699131533905,3.02140951702334e-08,0,0.785398197250964,0,0.026
0.12,0,-0.392699152299028,4.28035821786743e-08,0,0.785398211356911,0,0.026
0.13,0,-0.392699178955861,5.89650978599643e-08,0,0.785398229465153,0,0.026
0.14,0,-0.392699212525078,7.93174556590337e-08,0,0.785398252269043,0,0.026
0.15,0,-0.39269925410867,1.04528770916712e-07,0,0.785398280517175,0,0.026
0.16,0,-0.39269930488987,1.35316413574227e-07,0,0.785398315013329,0,0.026
0.17,0,-0.392699366133067,1.72446957991124e-07,0,0.785398356616419,0,0.026
0.18,0,-0.392699439183722,2.16736128322292e-07,0,0.785398406240426,0,0.026
0.19,0,-0.392699525468268,2.69048741896594e-07,0,0.785398464854341,0,0.026
0.2,0,-0.392699626494015,3.30298648154592e-07,0,0.785398533482093,0,0.026
0.21,0,-0.39269974384904,4.01448664477666e-07,0,0.785398613202479,0,0.026
0.22,0,-0.392699879202079,4.83510508020313e-07,0,0.785398705149084,0,0.026
0.23,0,-0.392700034302408,5.7754472532201e-07,0,0.785398810510208,0,0.026
0.24,0,-0.392700210979719,6.8466061636796e-07,0,0.785398930528777,0,0.026
0.25,0,-0.392700411143994,8.06016157761658e-07,0,0.785399066502258,0,0.026
0.26,0,-0.39270063678537,9.42817920124295e-07,0,0.78539921978257,0,0.026
0.27,0,-0.392700889974,1.09632098371781e-06,0,0.785399391775983,0,0.026
0.28,0,-0.392701172859907,1.26782884962706e-06,0,0.785399583943026,0,0.026
0.29,0,-0.39270148767283,1.45869334761128e-06,0,0.785399797798379,0,0.026
0.3,0,-0.392701836722074,1.67031454129107e-06,0,0.785400034910771,0,0.026
0.31,0,-0.392702222396344,1.90414062889444e-06,0,0.785400296902865,0,0.026
0.32,0,-0.392702647163576,2.16166784111627e-06,0,0.785400585451149,0,0.026
0.33,0,-0.392703113570767,2.44444033520308e-06,0,0.785400902285815,0,0.026
0.34,0,-0.392703624243793,2.75405008592911e-06,0,0.785401249190637,0,0.026
0.35,0,-0.392704181887228,3.09213677324172e-06,0,0.785401628002849,0,0.026
0.36,0,-0.392704789284152,3.46038766568801e-06,0,0.785402040613012,0,0.026
0.37,0,-0.392705449295955,3.86053750184301e-06,0,0.785402488964883,0,0.026
0.38,0,-0.392706164862138,4.29436836618668e-06,0,0.785402975055278,0,0.026
0.39,0,-0.392706939000106,4.76370956431493e-06,0,0.785403500933932,0,0.026
0.4,0,-0.392707774804955,5.27043749193323e-06,0,0.785404068703353,0,0.026
0.41,0,-0.392708675449257,5.81647550229603e-06,0,0.785404680518678,0,0.026
0.42,0,-0.392709644182834,6.40379377009337e-06,0,0.785405338587517,0,0.026
0.43,0,-0.392710684332532,7.03440915067466e-06,0,0.785406045169799,0,0.026
0.44,0,-0.392711799301988,7.71038503749599e-06,0,0.785406802577617,0,0.026
0.45,0,-0.39271299257139,8.43383121468255e-06,0,0.785407613175057,0,0.026
0.46,0,-0.392714267697232,9.20690370781463e-06,0,0.785408479378041,0,0.026
0.47,0,-0.392715628312064,1.00318046293846e-05,0,0.785409403654149,0,0.026
0.48,0,-0.392717078124239,1.09107820229215e-05,0,0.785410388522452,0,0.026
0.49,0,-0.392718620917651,1.18461297020089e-05,0,0.785411436553327,0,0.026
0.5,0,-0.39272026055147,1.284018708686e-05,0,0.785412550368284,0,0.026
0.51,0,-0.39272200095987,1.38953390375618e-05,0,0.785413732639776,0,0.026
0.52,0,-0.392723846151753,1.50140156837675e-05,0,0.785414986091013,0,0.026
0.53,0,-0.392725800210468,1.61986922501689e-05,0,0.78541631349577,0,0.026
0.54,0,-0.392727867293525,1.74518888806374e-05,0,0.785417717678189,0,0.026
0.55,0,-0.392730051632299,1.87761704565914e-05,0,0.785419201512584,0,0.026
0.56,0,-0.39273235753174,2.01741464142535e-05,0,0.785420767923236,0,0.026
0.57,0,-0.392734789370061,2.16484705572451e-05,0,0.785422419884188,0,0.026
0.58,0,-0.39273735159844,2.32018408658496e-05,0,0.785424160419033,0,0.026
0.59,0,-0.3927400487407,2.48369993036124e-05,0,0.785425992600704,0,0.026
0.6,0,-0.392742885392997,2.65567316199422e-05,0,0.785427919551255,0,0.026
0.61,0,-0.392745866223493,2.83638671504938e-05,0,0.78542994444164,0,0.026
0.62,0,-0.392748995972027,3.02612786128864e-05,0,0.785432070491494,0,0.026
0.63,0,-0.392752279449788,3.22518818995365e-05,0,0.785434300968899,0,0.026
0.64,0,-0.392755721538972,3.43386358682696e-05,0,0.78543663919016,0,0.026
