time,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate,gripper
0.098,0,-2.84605672362659e-13,2.43618999362649e-07,0,9.43763093448538e-08,0,0.026
0.099,0,-3.08697511997025e-13,2.53713251463505e-07,0,9.82867527252976e-08,0,0.026
0.1,0,-3.34621219622022e-13,2.64117907267103e-07,0,1.02317444433557e-07,0,0.026
0.101,0,-3.62099239481495e-13,2.74839260849813e-07,0,1.06470822651681e-07,0,0.026
0.102,0,-3.91797705390218e-13,2.85883669792764e-07,0,1.10749350273318e-07,0,0.026
0.103,0,-4.2366110619696e-13,2.97257553849573e-07,0,1.15155514315465e-07,0,0.026
0.104,0,-4.57689441901721e-13,3.08967395612481e-07,0,1.19691826078914e-07,0,0.026
0.105,0,-4.93882712504501e-13,3.21019740734396e-07,0,1.24360821331511e-07,0,0.026
0.106,0,-5.32796029517613e-13,3.3342119859503e-07,0,1.29165060468597e-07,0,0.026
0.107,0,-5.74207348336131e-13,3.46178440080447e-07,0,1.34107127741484e-07,0,0.026
0.108,0,-6.18560758169906e-13,3.5929820002556e-07,0,1.391896321664e-07,0,0.026
0.109,0,-6.65800747867706e-13,3.72787275437769e-07,0,1.44415206875212e-07,0,0.026
0.11,0,-7.16315895488151e-13,3.8665252660719e-07,0,1.4978650954317e-07,0,0.026
0.111,0,-7.70050689880009e-13,4.00900876218468e-07,0,1.55306221915304e-07,0,0.026
0.112,0,-8.27227175648204e-13,4.15539310238966e-07,0,1.60977050333413e-07,0,0.026
0.113,0,-8.88233930851356e-13,4.30574877252621e-07,0,1.66801725369491e-07,0,0.026
0.114,0,-9.53015444338234e-13,4.4601468845995e-07,0,1.72783001848519e-07,0,0.026
0.115,0,-1.02196029416746e-12,4.6186591812214e-07,0,1.78923659092941e-07,0,0.026
0.116,0,-1.09501296918779e-12,4.78135803116952e-07,0,1.85226500540681e-07,0,0.026
0.117,0,-1.17283960321402e-12,4.9483164338282e-07,0,1.91694354211112e-07,0,0.026
0.118,0,-1.25532917394366e-12,5.11960801252709e-07,0,1.98330072155009e-07,0,0.026
0.119,0,-1.34287025943536e-12,5.29530702120251e-07,0,2.05136530920509e-07,0,0.026
0.12,0,-1.43590694889895e-12,5.47548833773615e-07,0,2.12116631339197e-07,0,0.026
0.121,0,-1.53432822003197e-12,5.6602274683959e-07,0,2.1927329840384e-07,0,0.026
0.122,0,-1.63852265089304e-12,5.8496005478359e-07,0,2.26609481467025e-07,0,0.026
0.123,0,-1.74904535299447e-12,6.04368433909652e-07,0,2.34128154386201e-07,0,0.026
0.124,0,-1.86589632633627e-12,6.24255622916348e-07,0,2.41832314958418e-07,0,0.026
0.125,0,-1.98963068243074e-12,6.44629423118825e-07,0,2.49724985516137e-07,0,0.026
0.126,0,-2.12041495473159e-12,6.65497698670858e-07,0,2.5780921250703e-07,0,0.026
0.127,0,-2.25880425475111e-12,6.86868376786887e-07,0,2.66088066875906e-07,0,0.026
0.128,0,-2.40496511594301e-12,7.08749446409751e-07,0,2.7456464349945e-07,0,0.026
0.129,0,-2.55923060521468e-12,7.31148959765004e-07,0,2.832420617132e-07,0,0.026
0.13,0,-2.72221134522965e-12,7.54075031694779e-07,0,2.92123465219883e-07,0,0.026
0.131,0,-2.89424040289532e-12,7.77535839435739e-07,0,3.01212021783849e-07,0,0.026
0.132,0,-3.07542880051415e-12,8.01539622619085e-07,0,3.10510923414321e-07,0,0.026
0.133,0,-3.26655369420337e-12,8.26094683936685e-07,0,3.20023386518209e-07,0,0.026
0.134,0,-3.46822570662653e-12,8.51209388474938e-07,0,3.29752651701403e-07,0,0.026
0.135,0,-3.68050034893486e-12,8.76892163492737e-07,0,3.3970198363888e-07,0,0.026
0.136,0,-3.9039882437919e-12,9.0315149930964e-07,0,3.498746714108e-07,0,0.026
0.137,0,-4.13941103616366e-12,9.29995948639739e-07,0,3.60274028326796e-07,0,0.026
0.138,0,-4.38715730410877e-12,9.57434126591661e-07,0,3.70903391765471e-07,0,0.026
0.139,0,-4.64772664798829e-12,9.8547471089061e-07,0,3.81766123426461e-07,0,0.026
0.14,0,-4.92184071276824e-12,1.01412644165633e-06,0,3.9286560923875e-07,0,0.026
0.141,0,-5.20983256535601e-12,1.04339812140308e-06,0,4.04205259245988e-07,0,0.026
0.142,0,-5.51247936186883e-12,1.07329861526173e-06,0,4.15788507713484e-07,0,0.026
0.143,0,-5.8305027472727e-12,1.10383685120174e-06,0,4.27618813235013e-07,0,0.026
0.144,0,-6.16440232192872e-12,1.13502181869896e-06,0,4.39699658373815e-07,0,0.026
0.145,0,-6.51495524195411e-12,1.16686257051191e-06,0,4.52034550059721e-07,0,0.026
0.146,0,-6.88288315231489e-12,1.19936822134958e-06,0,4.64627019321787e-07,0,0.026
0.147,0,-7.2686301422209e-12,1.23254794831551e-06,0,4.77480621250037e-07,0,0.026
0.148,0,-7.67341745699923e-12,1.26641099112978e-06,0,4.90598935331544e-07,0,0.026
0.149,0,-8.09768918585974e-12,1.300966651685e-06,0,5.03985565083639e-07,0,0.026
0.15,0,-8.54238901837334e-12,1.33622429426827e-06,0,5.17644138153292e-07,0,0.026
0.151,0,-9.00823859950606e-12,1.37219334578331e-06,0,5.31578306385694e-07,0,0.026
0.152,0,-9.49612610767758e-12,1.40888329486222e-06,0,5.45791745763171e-07,0,0.026
0.153,0,-1.00069397213076e-11,1.44630369297571e-06,0,5.60288156366921e-07,0,0.026
0.154,0,-1.05417896634208e-11,1.48446415398906e-06,0,5.75071262644264e-07,0,0.026
0.155,0,-1.11013975789831e-11,1.52337435327388e-06,0,5.90144812744115e-07,0,0.026
0.156,0,-1.16868181798679e-11,1.56304402926244e-06,0,6.05512579265431e-07,0,0.026
0.157,0,-1.22989951556463e-11,1.60348298233748e-06,0,6.21178358821778e-07,0,0.026
0.158,0,-1.29392052627963e-11,1.64470107527626e-06,0,6.37145972247545e-07,0,0.026
0.159,0,-1.36082811685867e-11,1.68670823258443e-06,0,6.53419264215938e-07,0,0.026
0.16,0,-1.43075551406469e-11,1.72951444182834e-06,0,6.70002103849962e-07,0,0.026
0.161,0,-1.50378598462453e-11,1.77312975163657e-06,0,6.86898383973852e-07,0,0.026
0.162,0,-1.58006940864652e-11,1.81756427392044e-06,0,7.04112021899729e-07,0,0.026
0.163,0,-1.65969460397264e-11,1.86282818187555e-06,0,7.21646958648419e-07,0,0.026
0.164,0,-1.74282810405657e-11,1.90893171175821e-06,0,7.39507159675072e-07,0,0.026
0.165,0,-1.82959203343103e-11,1.95588516155309e-06,0,7.57696614364903e-07,0,0.026
0.166,0,-1.92009186328335e-11,2.0036988905292e-06,0,7.76219335933869e-07,0,0.026
0.167,0,-2.01449412706722e-11,2.05238332146029e-06,0,7.95079362039653e-07,0,0.026
0.168,0,-2.11292650043049e-11,2.10194893818239e-06,0,8.14280754086508e-07,0,0.026
0.169,0,-2.21552776125122e-11,2.15240628714808e-06,0,8.33827597706376e-07,0,0.026
0.17,0,-2.32248664744361e-11,2.20376597676042e-06,0,8.53724002567936e-07,0,0.026
0.171,0,-2.43392528354036e-11,2.25603867715085e-06,0,8.73974102277094e-07,0,0.026
0.172,0,-2.55000465188004e-11,2.30923512084535e-06,0,8.94582054522155e-07,0,0.026
0.173,0,-2.67090793926172e-11,2.36336610232035e-06,0,9.15552040989712e-07,0,0.026
0.174,0,-2.79679612802397e-11,2.41844247800271e-06,0,9.36888267471414e-07,0,0.026
0.175,0,-2.92785240496585e-11,2.47447516604771e-06,0,9.58594963619579e-07,0,0.026
0.176,0,-3.0642322013108e-11,2.53147514678309e-06,0,9.80676383191414e-07,0,0.026
0.177,0,-3.20614090831839e-11,2.58945346270911e-06,0,1.00313680393448e-06,0,0.026
0.178,0,-3.35377836613304e-11,2.64842121805442e-06,0,1.02598052764763e-06,0,0.026
0.179,0,-3.50729445486309e-11,2.70838957855402e-06,0,1.04921187982959e-06,0,0.026
0.18,0,-3.66696117914955e-11,2.76936977278153e-06,0,1.07283521045036e-06,0,0.026
0.181,0,-3.83292286798564e-11,2.8313730901508e-06,0,1.09685489292754e-06,0,0.026
0.182,0,-4.00542377043678e-11,2.89441088269227e-06,0,1.12127532506579e-06,0,0.026
0.183,0,-4.18468037999276e-11,2.9584945639427e-06,0,1.14610092836165e-06,0,0.026
0.184,0,-4.37090919014338e-11,3.0236356091673e-06,0,1.17133614831662e-06,0,0.026
0.185,0,-4.56436555218431e-11,3.08984555602576e-06,0,1.19698545460508e-06,0,0.026
0.186,0,-4.76526040849024e-11,3.15713600324008e-06,0,1.22305334046315e-06,0,0.026
0.187,0,-4.97384911035681e-11,3.22551861170473e-06,0,1.24954432334549e-06,0,0.026
0.188,0,-5.19035925350408e-11,3.29500510382053e-06,0,1.27646294444397e-06,0,0.026
0.189,0,-5.41509059814871e-11,3.36560726438284e-06,0,1.30381376916118e-06,0,0.026
0.19,0,-5.64827074001073e-11,3.43733693880521e-06,0,1.33160138642282e-06,0,0.026
0.191,0,-5.89019388819167e-11,3.5102060353398e-06,0,1.3598304093651e-06,0,0.026
0.192,0,-6.14112649621745e-11,3.58422652307899e-06,0,1.38850547486102e-06,0,0.026
0.193,0,-6.40137942653496e-11,3.65941043373175e-06,0,1.41763124390984e-06,0,0.026
0.194,0,-6.6712191326701e-11,3.7357698596252e-06,0,1.4472124010259e-06,0,0.026
0.195,0,-6.95093427260929e-11,3.8133169548149e-06,0,1.47725365476551e-06,0,0.026
0.196,0,-7.24089677106576e-11,3.89206393619501e-06,0,1.50775973784153e-06,0,0.026
0.197,0,-7.5413397748747e-11,3.97202308083378e-06,0,1.53873540632867e-06,0,0.026
0.198,0,-7.85266296432496e-11,4.05320672841603e-06,0,1.5701854406184e-06,0,0.026
0.199,0,-8.17513834405759e-11,4.13562727902272e-06,0,1.60211464454787e-06,0,0.026
0.2,0,-8.50915449213119e-11,4.2192971957955e-06,0,1.6345278462401e-06,0,0.026
0.201,0,-8.8550555776834e-11,4.30422900227212e-06,0,1.66742989728657e-06,0,0.026
0.202,0,-9.21317466762162e-11,4.39043528394079e-06,0,1.70082567328168e-06,0,0.026
0.203,0,-9.58390034000445e-11,4.47792868757402e-06,0,1.73472007357831e-06,0,0.026
0.204,0,-9.96760451954515e-11,4.56672192167273e-06,0,1.76911802144039e-06,0,0.026
0.205,0,-1.03646924376477e-10,4.65682775624421e-06,0,1.8040244638977e-06,0,0.026
0.206,0,-1.07755360190254e-10,4.74825902235798e-06,0,1.83944437171508e-06,0,0.026
0.207,0,-1.12005515973124e-10,4.84102861281199e-06,0,1.87538273950702e-06,0,0.026
0.208,0,-1.16401555061429e-10,4.93514948146645e-06,0,1.91184458566101e-06,0,0.026
0.209,0,-1.20947862836118e-10,5.03063464435405e-06,0,1.94883495251312e-06,0,0.026
0.21,0,-1.2564849161123e-10,5.12749717745953e-06,0,1.98635890576742e-06,0,0.026
0.211,0,-1.30508437390375e-10,5.22575022005034e-06,0,2.0244215354658e-06,0,0.026
0.212,0,-1.35531696976443e-10,5.32540697090189e-06,0,2.0630279548574e-06,0,0.026
0.213,0,-1.40723432906498e-10,5.42648069140617e-06,0,2.10218330133803e-06,0,0.026
0.214,0,-1.46088141583789e-10,5.52898470335128e-06,0,2.14189273577775e-06,0,0.026
0.215,0,-1.51630874523079e-10,5.63293239003171e-06,0,2.18216144293326e-06,0,0.026
0.216,0,-1.57356849772583e-10,5.73833719691441e-06,0,2.22299463146299e-06,0,0.026
0.217,0,-1.63270730269005e-10,5.84521262875226e-06,0,2.26439753322425e-06,0,0.026
0.218,0,-1.69378400194375e-10,5.95357225380289e-06,0,2.30637540444171e-06,0,0.026
0.219,0,-1.75684800041154e-10,6.06342969983187e-06,0,2.34893352454623e-06,0,0.026
0.22,0,-1.82195314391009e-10,6.1747986558891e-06,0,2.39207719677049e-06,0,0.026
0.221,0,-1.88916216004031e-10,6.28769287364106e-06,0,2.4358117483627e-06,0,0.026
0.222,0,-1.95852833950738e-10,6.40212616426217e-06,0,2.48014252991424e-06,0,0.026
0.223,0,-2.03011163435463e-10,6.5181124008773e-06,0,2.52507491576435e-06,0,0.026
0.224,0,-2.10397088640235e-10,6.63566551722949e-06,0,2.57061430393121e-06,0,0.026
0.225,0,-2.18017215392052e-10,6.75479950879021e-06,0,2.61676611627219e-06,0,0.026
0.226,0,-2.25877427872945e-10,6.87552843142702e-06,0,2.66353579797949e-06,0,0.026
0.227,0,-2.33984442932211e-10,6.99786640273592e-06,0,2.71092881825981e-06,0,0.026
0.228,0,-2.42344921908e-10,7.12182760070901e-06,0,2.75895066967734e-06,0,0.026
0.229,0,-2.50965082049248e-10,7.24742626417862e-06,0,2.80760686844365e-06,0,0.026
0.23,0,-2.59852472872524e-10,7.37467669392755e-06,0,2.85690295463165e-06,0,0.026
0.231,0,-2.69013922249428e-10,7.50359325091265e-06,0,2.90684449173975e-06,0,0.026
0.232,0,-2.78456369073865e-10,7.63419035715307e-06,0,2.95743706679877e-06,0,0.026
0.233,0,-2.881872518401e-10,7.7664824957302e-06,0,3.00868629063905e-06,0,0.026
0.234,0,-2.98214397620455e-10,7.90048421056566e-06,0,3.06059779766112e-06,0,0.026
0.235,0,-3.085453559315e-10,8.03621010664335e-06,0,3.11317724581253e-06,0,0.026
0.236,0,-3.19187898334405e-10,8.17367484934328e-06,0,3.1664303164808e-06,0,0.026
0.237,0,-3.30150129457252e-10,8.31289316555184e-06,0,3.22036271489798e-06,0,0.026
0.238,0,-3.41440153928119e-10,8.45387984232948e-06,0,3.27498016965164e-06,0,0.026
0.239,0,-3.53066298419691e-10,8.5966497275769e-06,0,3.33028843286032e-06,0,0.026
0.24,0,-3.6503722267156e-10,8.74121773070113e-06,0,3.38629328044067e-06,0,0.026
0.241,0,-3.77361364378714e-10,8.88759882061718e-06,0,3.44300051148852e-06,0,0.026
0.242,0,-3.90047993903408e-10,9.03580802841253e-06,0,3.50041594901963e-06,0,0.026
0.243,0,-4.03105882007537e-10,9.18586044490466e-06,0,3.55854543923613e-06,0,0.026
0.244,0,-4.1654446558681e-10,9.33777122197332e-06,0,3.61739485212977e-06,0,0.026
0.245,0,-4.30373292559239e-10,9.49155557211645e-06,0,3.6769700810387e-06,0,0.026
0.246,0,-4.4460168879823e-10,9.6472287682281e-06,0,3.73727704270824e-06,0,0.026
0.247,0,-4.5923986835561e-10,9.80480614448664e-06,0,3.7983216777109e-06,0,0.026
0.248,0,-4.74297712216298e-10,9.9643030950225e-06,0,3.86010994975097e-06,0,0.026
0.249,0,-4.89785267898668e-10,1.01257350745843e-05,0,3.92264784610734e-06,0,0.026
0.25,0,-5.0571341558836e-10,1.02891175989828e-05,0,3.98594137770205e-06,0,0.026
0.251,0,-5.22092646892958e-10,1.0454466244425e-05,0,4.04999657877913e-06,0,0.026
0.252,0,-5.38933953020404e-10,1.06217966472921e-05,0,4.11481950700377e-06,0,0.026
0.253,0,-5.56248103134038e-10,1.07911245043613e-05,0,4.18041624340091e-06,0,0.026
0.254,0,-5.74046865597921e-10,1.0962465573916e-05,0,4.24679289276748e-06,0,0.026
0.255,0,-5.92341620198056e-10,1.11358356735258e-05,0,4.31395558299234e-06,0,0.026
0.256,0,-6.11144079787351e-10,1.13112506818225e-05,0,4.38191046552957e-06,0,0.026
0.257,0,-6.30466345796776e-10,1.14887265376118e-05,0,4.45066371512332e-06,0,0.026
0.258,0,-6.50320464146148e-10,1.16682792400957e-05,0,4.52022153005184e-06,0,0.026
0.259,0,-6.70719313422552e-10,1.18499248495385e-05,0,4.59059013205098e-06,0,0.026
0.26,0,-6.91675328123864e-10,1.20336794852682e-05,0,4.66177576594721e-06,0,0.026
0.261,0,-7.13201664392926e-10,1.22195593281194e-05,0,4.73378470029893e-06,0,0.026
0.262,0,-7.35311311839126e-10,1.24075806182122e-05,0,4.80662322670121e-06,0,0.026
0.263,0,-7.58017981716819e-10,1.25977596571736e-05,0,4.88029766038888e-06,0,0.026
0.264,0,-7.81335385280357e-10,1.2790112805916e-05,0,4.95481433980851e-06,0,0.026
0.265,0,-8.05277622362155e-10,1.29846564859704e-05,0,5.03017962678622e-06,0,0.026
0.266,0,-8.29858515238868e-10,1.31814071785974e-05,0,5.10639990632103e-06,0,0.026
0.267,0,-8.55093107432481e-10,1.33803814263422e-05,0,5.18348158708126e-06,0,0.026
0.268,0,-8.80996220420371e-10,1.35815958310359e-05,0,5.26143110081596e-06,0,0.026
0.269,0,-9.07582564657616e-10,1.37850670546835e-05,0,5.34025490248444e-06,0,0.026
0.27,0,-9.3486768326656e-10,1.39908118199084e-05,0,5.41995947059215e-06,0,0.026
0.271,0,-9.62867341414153e-10,1.41988469090637e-05,0,5.50055130675499e-06,0,0.026
0.272,0,-9.91597304267344e-10,1.44091891646769e-05,0,5.5820369359739e-06,0,0.026
0.273,0,-1.0210741141492e-09,1.46218554894495e-05,0,5.66442290652771e-06,0,0.026
0.274,0,-1.05131409133818e-09,1.48368628460349e-05,0,5.74771578990401e-06,0,0.026
0.275,0,-1.08233405571312e-09,1.50542282570387e-05,0,5.83192218082945e-06,0,0.026
0.276,0,-1.11415132675319e-09,1.52739688052406e-05,0,5.91704869735342e-06,0,0.026
0.277,0,-1.14678316842642e-09,1.54961016331501e-05,0,6.00310198068731e-06,0,0.026
0.278,0,-1.18024773287928e-09,1.5720643943451e-05,0,6.09008869540282e-06,0,0.026
0.279,0,-1.21456278368015e-09,1.5947612998779e-05,0,6.17801552914896e-06,0,0.026
0.28,0,-1.24974675053124e-09,1.61770261212779e-05,0,6.26688919280454e-06,0,0.026
0.281,0,-1.28581861824628e-09,1.64089006934875e-05,0,6.35671642052365e-06,0,0.026
0.282,0,-1.32279748266129e-09,1.66432541578998e-05,0,6.44750396970474e-06,0,0.026
0.283,0,-1.36070266165689e-09,1.68801040160704e-05,0,6.53925862076117e-06,0,0.026
0.284,0,-1.39955397271407e-09,1.71194678299513e-05,0,6.63198717738054e-06,0,0.026
0.285,0,-1.43937162189189e-09,1.73613632214464e-05,0,6.72569646648615e-06,0,0.026
0.286,0,-1.480176037294e-09,1.76058078717456e-05,0,6.82039333806099e-06,0,0.026
0.287,0,-1.52198786906865e-09,1.78528195217686e-05,0,6.91608466513972e-06,0,0.026
0.288,0,-1.56482871105368e-09,1.81024159728316e-05,0,7.01277734425134e-06,0,0.026
0.289,0,-1.60872015708691e-09,1.83546150855363e-05,0,7.11047829480016e-06,0,0.026
0.29,0,-1.65368385651732e-09,1.86094347797705e-05,0,7.20919445921048e-06,0,0.026
0.291,0,-1.69974234687231e-09,1.88668930355962e-05,0,7.30893280330057e-06,0,0.026
0.292,0,-1.74691816567929e-09,1.91270078923611e-05,0,7.40970031572467e-06,0,0.026
0.293,0,-1.79523484966637e-09,1.93897974498092e-05,0,7.51150400862186e-06,0,0.026
