time,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate,waist_d,shoulder_d,elbow_d,forearm_roll_d,wrist_angle_d,wrist_rotate_d,gripper
0.054,0,-4.82947015711943e-15,2.73928941196822e-08,0,1.06118168237151e-08,0,0,-7.61779727530824e-13,2.08596182644307e-06,0,8.08087100452396e-07,0,0.026
0.055,0,-5.60662627435704e-15,2.94788559673798e-08,0,1.14199039241675e-08,0,0,-7.44483836315707e-13,2.20287490889076e-06,0,8.53378416054937e-07,0,0.026
0.056,0,-6.32827124036339e-15,3.16817309609085e-08,0,1.22732823402224e-08,0,0,-9.47333631722759e-13,2.32407582932931e-06,0,9.00330810397623e-07,0,0.026
0.057,0,-7.27196081129478e-15,3.40058067815896e-08,0,1.31736131506201e-08,0,0,-1.14801244695014e-12,2.44964125004905e-06,0,9.48973981932217e-07,0,0.026
0.058,0,-8.43769498715119e-15,3.64554479381773e-08,0,1.41225871325523e-08,0,0,-1.12418983587207e-12,2.57964854298243e-06,0,9.99337904021962e-07,0,0.026
0.059,0,-9.54791801177635e-15,3.90350964329933e-08,0,1.51219250365742e-08,0,0,-1.54204269753575e-12,2.71417488324033e-06,0,1.05145247378388e-06,0,0.026
0.06,0,-1.11022302462516e-14,4.17492713178369e-08,0,1.61733775103581e-08,0,0,-1.51281959411667e-12,2.85329675541591e-06,0,1.1053473208344e-06,0,0.026
0.061,0,-1.26010313294955e-14,4.46025680278517e-08,0,1.72787248311925e-08,0,0,-1.70266609215698e-12,2.9970920442446e-06,0,1.16105261719653e-06,0,0.026
0.062,0,-1.43218770176645e-14,4.75996601578821e-08,0,1.8439777448389e-08,0,0,-1.88918920942491e-12,3.14563717538824e-06,0,1.21859796965962e-06,0,0.026
0.063,0,-1.62092561595273e-14,5.07452972420275e-08,0,1.96583754180487e-08,0,0,-2.2942390600789e-12,3.29900971798521e-06,0,1.27801342798923e-06,0,0.026
0.064,0,-1.84852133600089e-14,5.40443069740881e-08,0,2.09363888460379e-08,0,0,-2.25112547942552e-12,3.4572857820986e-06,0,1.33932847671667e-06,0,0.026
0.065,0,-2.07611705604904e-14,5.75015927650746e-08,0,2.22757173227546e-08,0,0,-2.87018218617892e-12,3.62054392278132e-06,0,1.40257354754685e-06,0,0.026
0.066,0,-2.36477504245158e-14,6.11221366297876e-08,0,2.36782908703014e-08,0,0,-2.8182878014154e-12,3.78885936274689e-06,0,1.46777778126106e-06,0,0.026
0.067,0,-2.647881913731e-14,6.49109960781935e-08,0,2.51460686515625e-08,0,0,-3.42786464205928e-12,3.96231063737351e-06,0,1.53497160194554e-06,0,0.026
0.068,0,-2.9920510513648e-14,6.88733067799596e-08,0,2.6681040253508e-08,0,0,-3.58787786375549e-12,4.14097377762987e-06,0,1.60418446349737e-06,0,0.026
0.069,0,-3.35287353436797e-14,7.30142805660527e-08,0,2.82852247170054e-08,0,0,-4.1864431458703e-12,4.32492629362994e-06,0,1.67544639282601e-06,0,0.026
0.07,0,-3.76920716860241e-14,7.73392067610068e-08,0,2.99606711098314e-08,0,0,-4.55673855616832e-12,4.51424476840872e-06,0,1.74878705769884e-06,0,0.026
0.071,0,-4.22439860869872e-14,8.1853451516789e-08,0,3.17094581675302e-08,0,0,-4.92043832676578e-12,4.70900641610037e-06,0,1.82423637036861e-06,0,0.026
0.072,0,-4.71844785465692e-14,8.65624580348445e-08,0,3.35336945378989e-08,0,0,-5.49919004210738e-12,4.90928809598432e-06,0,1.90182410562187e-06,0,0.026
0.073,0,-5.26800825184637e-14,9.14717461220071e-08,0,3.54355186435207e-08,0,0,-5.84822199695721e-12,5.11516672621038e-06,0,1.98158006105322e-06,0,0.026
0.074,0,-5.85087533977457e-14,9.65869128566332e-08,0,3.74170987045739e-08,0,0,-6.85551613887944e-12,5.32671981675852e-06,0,2.0635342635304e-06,0,0.026
0.075,0,-6.53366249991905e-14,1.01913632588602e-07,0,3.94806329681043e-08,0,0,-7.18771977080399e-12,5.54402306321443e-06,0,2.14771603703967e-06,0,0.026
0.076,0,-7.24975635080227e-14,1.07457655607046e-07,0,4.1628349005144e-08,0,0,-7.95488338529955e-12,5.7671545472432e-06,0,2.23415562992033e-06,0,0.026
0.077,0,-8.04356581340926e-14,1.13224810138757e-07,0,4.38625046350643e-08,0,0,-8.71211172704103e-12,5.99619047721486e-06,0,2.32288256481264e-06,0,0.026
0.078,0,-8.91509088774001e-14,1.19221000571823e-07,0,4.6185387199877e-08,0,0,-9.45873611838539e-12,6.23120808668342e-06,0,2.41392676150861e-06,0,0.026
0.079,0,-9.85878045867139e-14,1.25452208565857e-07,0,4.85993139613856e-08,0,0,-1.06383133920403e-11,6.47228433334988e-06,0,2.50731803293942e-06,0,0.026
0.08,0,-1.09245945623115e-13,1.31924492829949e-07,0,5.1106631994325e-08,0,0,-1.13615807516075e-11,6.71949558301894e-06,0,2.60308596274253e-06,0,0.026
0.081,0,-1.20625731625523e-13,1.38643988456533e-07,0,5.37097179570676e-08,0,0,-1.22941502694227e-11,6.97291889195944e-06,0,2.70126040203935e-06,0,0.026
0.082,0,-1.32893696047631e-13,1.45616907365476e-07,0,5.64109783591069e-08,0,0,-1.34352027174779e-11,7.2326314935745e-06,0,2.80187127057487e-06,0,0.026
0.083,0,-1.46327394645596e-13,1.52849538748168e-07,0,5.92128496296818e-08,0,0,-1.47838777483696e-11,7.49871002984609e-06,0,2.90494825898481e-06,0,0.026
0.084,0,-1.6109336087311e-13,1.60348248845477e-07,0,6.21177978886666e-08,0,0,-1.61171416560603e-11,7.77123116234595e-06,0,3.01052106549705e-06,0,0.026
0.085,0,-1.77191594730175e-13,1.6811948005957e-07,0,6.51283189541636e-08,0,0,-1.72119164222629e-11,8.05027131604943e-06,0,3.11861929668706e-06,0,0.026
0.086,0,-1.94400051611865e-13,1.76169751398003e-07,0,6.82469382508507e-08,0,0,-1.89557299373483e-11,8.33590847358542e-06,0,3.22927316255801e-06,0,0.026
0.087,0,-2.13329354181724e-13,1.84505659805989e-07,0,7.14762114134087e-08,0,0,-2.04590193245096e-11,8.62821805424996e-06,0,3.34251188009929e-06,0,0.026
0.088,0,-2.33812968986058e-13,1.9313387794595e-07,0,7.4818723293508e-08,0,0,-2.19428240751648e-11,8.92727750809309e-06,0,3.45836545300408e-06,0,0.026
0.089,0,-2.55739873722405e-13,2.02061155529787e-07,0,7.8277088746512e-08,0,0,-2.38502633366443e-11,9.23316367410117e-06,0,3.57686364824761e-06,0,0.026
0.09,0,-2.79609668751846e-13,2.11294319096833e-07,0,8.18539523947597e-08,0,0,-2.5958011829669e-11,9.54595333182973e-06,0,3.69803620978606e-06,0,0.026
0.091,0,-3.05588887528074e-13,2.20840272457945e-07,0,8.55519886045457e-08,0,0,-2.78205593121141e-11,9.86572268903251e-06,0,3.82191266006766e-06,0,0.026
0.092,0,-3.33399974294935e-13,2.30705995141189e-07,0,8.93739012646134e-08,0,0,-3.01029911661353e-11,1.01925489197265e-05,0,3.94852289586869e-06,0,0.026
0.093,0,-3.63487018262276e-13,2.408985441682e-07,0,9.33224241604821e-08,0,0,-3.23596820456594e-11,1.0526508468102e-05,0,4.07789653124006e-06,0,0.026
0.094,0,-3.958500194301e-13,2.5142505272191e-07,0,9.74003206917221e-08,0,0,-3.50334679448224e-11,1.08676785276897e-05,0,4.2100634705265e-06,0,0.026
0.095,0,-4.30877555857023e-13,2.62292731256775e-07,0,1.01610384162249e-07,0,0,-3.76786010069173e-11,1.12161350694532e-05,0,4.34505314446347e-06,0,0.026
0.096,0,-4.68569627543047e-13,2.7350886638855e-07,0,1.05955437306712e-07,0,0,-4.02935296475678e-11,1.15719548529577e-05,0,4.48289528929016e-06,0,0.026
0.097,0,-5.08870723336941e-13,2.85080821338379e-07,0,1.10438332596002e-07,0,0,-4.35430269876846e-11,1.19352154067351e-05,0,4.62361993914326e-06,0,0.026
0.098,0,-5.52391465902247e-13,2.97016036820974e-07,0,1.15061952535146e-07,0,0,-4.6759015438065e-11,1.23059923663544e-05,0,4.76725639484371e-06,0,0.026
0.099,0,-5.99131855238966e-13,3.09322029268255e-07,0,1.19829208929989e-07,0,0,-5.01618681694994e-11,1.26843625898177e-05,0,4.91383443078018e-06,0,0.026
0.1,0,-6.49313935952023e-13,3.22006391939578e-07,0,1.24743043360769e-07,0,0,-5.37497548640558e-11,1.30704029546869e-05,0,5.06338382892412e-06,0,0.026
0.101,0,-7.0304873034388e-13,3.35076794921729e-07,0,1.29806427189694e-07,0,0,-5.75207705186555e-11,1.34641896287931e-05,0,5.21593409630791e-06,0,0.026
0.102,0,-7.60558283019463e-13,3.48540984462797e-07,0,1.35022361286001e-07,0,0,-6.1695062536883e-11,1.38657998247404e-05,0,5.37151514470762e-06,0,0.026
0.103,0,-8.22231172037391e-13,3.62406784304437e-07,0,1.40393876430709e-07,0,0,-6.60484383163222e-11,1.42753094932832e-05,0,5.53015639707355e-06,0,0.026
0.104,0,-8.88289442002588e-13,3.76682093905512e-07,0,1.45924032827783e-07,0,0,-7.05787531030703e-11,1.46927953933922e-05,0,5.69188758945969e-06,0,0.026
0.105,0,-9.58844115217516e-13,3.91374889330276e-07,0,1.51615920417242e-07,0,0,-7.55059082424461e-11,1.51183341460449e-05,0,5.85673840446881e-06,0,0.026
0.106,0,-1.03433928089203e-12,4.06493223470417e-07,0,1.57472658821711e-07,0,0,-8.06054571252975e-11,1.55520020565692e-05,0,6.0247384024298e-06,0,0.026
0.107,0,-1.11494147247981e-12,4.22045225600964e-07,0,1.63497397224141e-07,0,0,-8.60971242853563e-11,1.59938759823173e-05,0,6.19591735752882e-06,0,0.026
0.108,0,-1.20103926803949e-12,4.38039101602339e-07,0,1.6969331458167e-07,0,0,-9.17562817371074e-11,1.64440318736073e-05,0,6.37030469258025e-06,0,0.026
